Date,Sales Amount
2017-05-31,97069
2017-04-09,214818
2016-06-02,67864
2019-01-03,153451
2016-09-20,27567
2019-05-14,410086
2020-07-28,138124
2019-05-15,246536
2020-01-11,333200
2020-08-01,39783
2018-09-14,353379
2017-10-24,436724
2017-02-20,413434
2018-12-07,142508
2018-01-25,451903
2019-12-13,25694
2018-01-23,425420
2016-10-10,477564
2016-04-23,207212
2016-12-12,5481
2018-10-05,182209
2019-02-16,490808
2019-05-24,26452
2016-06-30,89741
2018-01-22,173013
2016-02-24,338091
2020-05-17,412954
2019-04-24,63653
2017-03-13,42776
2018-04-10,284663
2019-05-21,48031
2018-01-15,282411
2017-06-28,336989
2017-04-16,203421
2016-02-29,226623
2016-08-07,79539
2016-10-18,493554
2016-11-08,49137
2019-01-07,210230
2017-04-14,488084
2017-03-03,323950
2016-05-12,94667
2019-03-18,159911
2018-06-09,416843
2019-02-25,119086
2019-08-10,337246
2017-05-24,263423
2020-06-17,431577
2020-02-09,464934
2016-08-26,370861
2018-11-19,9049
2016-09-15,417526
2017-05-06,60245
2017-01-02,272025
2020-06-13,431913
2017-05-08,462732
2017-01-21,219138
2017-10-15,378118
2017-01-17,411800
2020-12-07,239859
2018-11-12,44794
2017-03-09,493675
2018-03-19,3923
2016-01-30,384293
2018-05-04,131334
2018-07-22,97827
2016-11-22,12166
2016-12-01,150052
2020-09-05,212308
2020-08-18,452960
2019-12-05,320413
2019-12-11,468277
2019-01-07,286623
2016-06-29,409520
2020-08-11,415999
2020-10-09,140909
2016-09-24,450219
2020-11-20,13758
2019-07-23,402677
2020-06-15,448742
2020-06-03,259374
2019-02-12,408344
2016-02-25,427847
2017-09-26,105707
2018-12-06,383814
2018-09-26,28445
2020-06-29,469871
2019-07-05,305234
2018-06-18,212542
2018-07-28,353041
2020-06-01,244952
2018-07-02,136899
2017-04-24,207744
2020-11-25,42972
2020-11-02,45432
2016-12-25,119308
2020-06-16,290961
2018-09-17,68825
2017-11-01,112093
2018-04-07,467758
2016-02-28,126333
2016-01-19,396104
2019-05-18,296570
2017-01-17,80878
2020-12-07,290421
2016-10-13,290730
2018-01-05,39918
2017-12-14,346332
2018-05-07,370358
2016-04-24,1208
2020-06-10,429967
2020-03-14,445420
2020-05-11,191332
2018-09-04,248019
2017-03-30,312153
2016-07-12,23918
2016-07-07,416912
2020-03-24,359734
2018-07-10,74845
2019-05-24,231444
2018-08-19,423033
2016-10-19,173009
2020-08-20,61891
2020-06-05,40956
2018-04-21,37517
2019-04-28,447186
2017-08-16,273838
2016-08-29,433301
2020-06-22,200032
2020-01-03,196818
2018-04-19,56095
2018-03-27,435244
2016-01-18,8995
2019-09-15,1526
2018-11-15,489186
2020-04-16,19132
2018-06-03,456380
2016-12-16,391223
2018-10-01,263549
2016-07-19,75929
2017-02-07,255515
2016-06-01,90221
2017-05-19,195409
2020-01-23,80718
2017-12-14,79476
2018-08-30,176284
2020-12-18,59561
2018-10-16,159396
2016-11-07,358526
2019-03-26,481304
2020-03-12,70672
2020-04-03,391339
2020-04-23,143630
2016-09-08,157485
2019-06-25,344233
2020-06-02,373997
2019-09-16,268298
2020-05-04,431431
2020-01-15,119405
2019-11-04,376730
2017-06-13,214744
2019-02-07,85070
2016-01-27,180666
2017-03-19,434561
2018-07-07,489462
2016-11-21,358686
2017-04-20,183117
2017-12-16,100644
2018-07-05,471012
2019-09-15,496141
2016-03-08,333054
2018-01-09,454732
2018-01-28,345356
2020-09-18,138392
2020-09-26,451666
2019-09-23,459657
2016-04-13,358530
2016-04-05,265767
2018-08-21,180660
2020-11-18,474163
2017-08-20,282281
2017-11-24,367215
2019-10-11,319216
2020-08-01,244680
2016-09-09,264226
2018-09-21,381880
2019-06-05,452068
2016-09-29,84307
2018-05-14,69758
2018-02-09,204666
2018-05-04,329914
2019-06-20,337230
2020-03-22,439436
2019-10-06,102511
2016-11-26,452774
2018-03-04,94777
2017-05-28,127790
2017-09-06,155539
2020-04-13,172665
2016-07-26,235535
2020-06-21,173358
2017-11-30,344644
2016-02-28,402173
2016-03-29,248546
2017-08-07,164171
2019-06-27,47496
2017-08-16,197055
2019-09-04,352941
2016-05-08,26118
2018-05-18,207519
2019-02-27,53202
2018-01-02,384309
2019-10-12,237438
2016-04-21,120564
2020-05-23,392269
2016-08-17,50268
2020-07-02,444689
2017-12-24,401541
2016-10-15,426412
2017-09-10,483519
2018-05-16,134965
2020-01-29,43247
2017-01-01,431304
2019-12-30,109327
2017-05-15,48313
2019-02-21,21064
2016-12-10,22405
2018-08-30,2561
2018-10-30,162445
2017-01-28,441281
2018-01-29,475189
2016-01-14,300378
2018-01-09,199960
2018-04-30,447424
2017-06-01,260793
2018-06-26,478028
2019-09-06,18438
2017-07-28,458169
2018-03-26,77909
2019-06-10,89464
2019-10-05,471082
2016-09-21,433170
2017-01-21,279984
2020-11-15,14347
2020-09-17,61046
2020-04-30,222043
2020-04-30,248064
2017-09-16,363119
2020-04-15,453228
2019-04-01,356422
2020-09-18,310693
2018-01-24,114848
2020-01-06,132437
2020-05-06,375974
2020-07-27,278825
2019-05-26,116493
2019-07-04,14297
2020-12-18,391453
2020-12-18,357469
2018-09-28,444084
2018-03-29,278155
2020-11-28,189429
2016-06-28,135152
2016-01-24,267496
2018-12-27,47985
2018-12-07,247967
2016-10-30,61079
2020-07-30,457480
2019-09-30,424291
2016-09-03,98485
2019-09-12,190171
2020-03-03,190524
2019-07-22,419099
2019-05-06,28105
2017-08-05,171177
2020-03-31,250892
2019-11-07,424101
2016-09-05,212413
2017-09-09,277304
2016-09-29,399101
2020-12-30,217542
2020-09-03,470293
2020-12-20,402230
2019-09-17,108977
2017-06-27,484102
2019-08-21,132029
2016-11-20,480052
2019-08-03,399870
2016-06-22,476449
2016-08-17,297824
2020-09-15,193126
2018-12-19,81271
2016-07-23,345051
2018-06-01,141337
2020-02-04,118402
2018-12-10,4640
2018-01-09,435929
2017-07-24,372872
2018-04-20,371394
2019-07-09,489846
2016-03-08,73473
2018-12-17,235881
2017-09-03,343975
2016-05-27,268673
2016-08-01,426932
2017-05-06,97079
2016-10-08,139303
2016-04-18,260740
2017-08-05,205385
2018-05-04,61186
2018-05-10,382219
2018-06-14,301860
2020-11-01,277110
2018-01-28,454594
2017-03-06,275704
2020-10-19,34493
2016-07-07,384893
2020-11-21,437056
2019-03-19,232193
2016-04-13,229841
2016-08-28,188422
2017-12-01,271357
2018-05-27,252613
2016-01-07,142539
2019-11-18,168379
2018-01-28,495120
2018-10-06,323698
2017-07-09,362174
2016-10-27,424438
2016-04-09,381139
2016-01-12,104211
2019-03-14,449349
2019-04-02,235387
2019-07-22,88829
2019-12-28,226853
2019-02-06,101108
2018-05-25,495085
2016-11-01,96501
2018-05-06,209872
2017-03-08,262766
2019-09-18,306124
2017-07-07,366126
2019-04-04,286278
2018-06-11,95647
2016-02-11,398313
2018-10-31,250237
2018-07-13,92697
2019-12-23,369086
2020-03-17,6242
2019-03-08,168827
2019-12-13,303184
2020-06-21,370116
2016-11-03,270163
2017-01-30,326687
2019-04-23,9753
2020-08-31,11875
2018-07-13,397064
2018-03-18,78070
2019-08-20,267054
2018-03-26,448205
2017-10-06,319428
2017-01-18,420438
2017-06-13,377991
2018-02-12,24430
2017-08-29,4258
2018-09-08,97544
2016-05-28,432596
2020-01-15,307662
2019-10-27,488631
2019-11-17,356249
2019-03-28,81851
2018-05-15,376931
2016-10-26,340890
2018-08-22,180737
2016-10-18,169539
2019-06-28,483936
2017-09-02,139479
2018-06-14,228700
2019-03-24,420326
2017-05-08,284157
2018-06-24,197755
2019-12-04,282430
2020-01-22,221035
2016-10-16,340745
2019-06-10,242140
2017-12-26,90854
2016-04-02,97672
2019-01-19,163524
2017-01-18,123019
2016-02-09,359909
2019-07-23,369056
2016-07-03,366170
2017-09-21,41938
2017-09-09,412258
2018-08-15,31485
2020-02-08,38560
2018-02-15,50256
2018-05-29,301484
2019-08-22,318026
2019-02-02,163843
2018-12-29,31400
2019-05-20,154248
2016-02-03,266378
2017-05-15,309457
2019-01-01,299894
2020-11-20,12375
2020-07-04,418134
2020-04-21,478810
2016-06-11,463025
2019-09-08,326851
2020-11-07,41361
2019-02-01,366453
2018-07-01,41856
2016-01-25,246056
2019-05-20,259888
2020-07-01,269547
2019-03-16,264485
2018-06-20,157796
2020-06-25,162278
2017-02-13,323916
2019-05-27,26963
2018-05-23,374130
2017-04-01,12173
2017-10-30,24473
2018-01-23,448559
2020-01-05,227016
2018-04-11,410197
2019-01-03,375879
2017-01-14,139390
2018-01-08,214716
2016-10-25,472181
2016-09-18,274743
2020-02-18,270706
2017-02-21,274430
2018-01-30,360613
2018-09-21,280401
2017-04-16,459362
2017-12-17,311196
2020-06-20,22800
2018-09-18,167354
2020-09-30,162150
2020-07-17,127105
2020-05-27,347914
2017-12-28,491266
2018-08-08,88624
2016-01-18,363512
2016-05-22,188038
2016-04-28,141080
2016-02-27,417195
2020-03-29,270918
2019-08-25,277370
2016-11-08,93224
2016-08-01,157281
2019-02-18,207984
2019-05-08,447713
2020-02-26,173320
2018-07-26,272233
2016-02-25,56217
2017-07-19,256626
2020-04-29,362500
2019-05-16,157784
2020-11-30,138554
2016-06-18,183285
2016-01-20,441012
2016-05-04,26361
2019-05-23,267437
2018-06-26,296625
2019-08-29,211778
2016-09-30,427392
2016-11-03,112089
2019-03-09,410997
2019-10-16,15006
2019-05-07,499326
2020-09-21,449918
2020-09-19,453596
2017-10-20,382928
2020-03-11,212143
2020-09-14,3019
2019-01-08,429200
2016-05-19,441216
2019-02-05,3078
2019-07-12,362774
2018-05-17,135699
2017-08-15,319580
2018-02-05,106549
2018-03-09,481747
2020-07-01,187543
2016-02-25,303854
2016-07-26,472990
2016-02-04,211380
2017-08-15,457652
2016-11-21,12943
2016-08-11,62747
2019-03-11,372589
2017-01-30,292871
2019-06-25,302186
2017-02-13,249762
2016-03-02,94901
2017-05-03,121034
2016-07-21,426746
2019-11-25,129748
2020-11-11,353120
2016-08-23,367295
2017-04-04,137054
2019-05-28,58485
2017-05-21,156315
2017-06-23,248276
2020-07-30,156761
2019-10-21,469936
2019-05-02,268178
2019-03-19,413077
2016-03-15,121012
2017-04-11,112956
2017-01-03,123046
2017-01-06,303333
2018-03-11,58869
2020-07-27,205262
2019-04-08,123377
2020-06-28,486320
2016-05-30,284296
2018-06-03,294026
2016-12-15,460041
2016-04-25,391536
2016-11-26,111144
2019-12-08,126946
2020-04-27,266088
2019-12-18,88617
2019-04-27,360945
2016-06-22,438572
2019-10-01,210712
2016-03-05,357597
2018-07-19,423416
2016-02-08,278301
2020-03-15,198876
2017-01-01,427521
2016-10-16,294680
2016-10-23,272138
2016-09-22,149555
2017-04-10,482399
2020-06-28,168583
2019-03-03,23958
2019-03-02,463313
2017-11-26,473431
2017-04-11,28889
2017-11-09,120515
2017-05-19,147003
2020-03-16,261269
2020-08-28,366299
2019-08-26,44792
2018-02-26,245889
2018-05-09,258973
2019-09-10,4946
2016-11-30,11015
2016-09-23,167539
2018-09-10,365535
2017-05-27,12048
2017-12-31,19114
2017-10-30,157851
2017-12-20,453658
2020-12-24,296317
2018-01-30,35935
2018-09-30,490096
2016-07-14,395011
2019-11-24,463861
2016-06-23,89071
2019-06-18,74468
2020-09-23,465642
2019-08-12,210940
2018-04-05,186735
2019-05-22,413266
2018-01-31,427739
2017-03-07,456810
2017-11-26,496630
2018-06-24,405763
2019-04-04,489468
2018-11-27,287961
2018-11-24,158646
2017-01-17,159728
2017-05-02,74707
2017-12-19,90578
2019-12-26,424097
2019-01-02,316588
2019-08-19,379649
2018-10-06,327733
2020-05-10,23860
2017-07-03,67719
2018-11-09,200611
2017-01-06,283318
2019-10-23,29281
2016-02-24,90889
2017-01-28,454852
2016-11-04,368006
2020-09-10,427355
2018-07-08,79784
2016-06-06,222483
2018-11-10,333338
2018-10-30,55120
2018-05-01,219746
2017-09-01,50193
2016-05-25,465007
2020-04-13,417381
2019-01-01,372252
2016-02-17,69727
2016-02-11,107153
2017-12-27,192281
2017-09-20,15385
2020-09-16,181216
2016-07-31,251193
2016-12-04,457444
2020-02-17,301155
2017-06-13,60432
2019-09-14,237682
2018-08-19,498184
2018-04-19,408458
2017-02-12,132623
2020-03-23,56201
2018-11-15,237798
2018-09-05,250810
2017-02-04,374150
2016-04-16,451810
2020-05-04,259650
2019-03-13,441965
2016-05-19,295730
2018-10-20,56225
2016-07-01,261975
2019-12-25,371587
2017-06-03,58988
2019-03-14,180384
2020-07-12,373917
2020-03-07,458978
2016-09-24,451407
2017-10-26,204917
2019-04-12,343125
2017-02-25,445458
2018-09-28,60231
2019-06-05,293533
2018-08-23,168804
2019-06-06,401709
2019-03-26,433717
2016-09-04,125022
2017-08-07,113031
2020-07-31,391787
2018-05-03,392661
2018-06-05,157864
2019-10-24,121564
2020-03-07,257289
2018-12-29,291284
2018-08-15,64006
2016-01-20,351387
2017-05-05,112632
2019-09-21,157693
2019-04-05,347705
2020-11-28,36289
2016-10-08,125020
2018-02-04,289484
2019-02-24,42861
2017-04-17,202277
2017-09-05,27566
2017-11-07,244493
2016-07-02,24209
2018-01-09,11083
2018-11-02,40938
2017-08-07,106938
2017-12-28,403456
2016-11-19,419537
2020-01-16,358706
2016-09-21,443373
2019-04-11,300424
2017-03-21,408573
2018-10-31,101651
2019-07-24,497949
2019-10-27,253162
2016-02-03,60214
2017-03-02,402366
2017-01-17,316796
2016-01-03,179390
2018-08-09,423370
2020-03-21,105185
2019-05-07,303670
2020-04-19,350582
2016-06-26,496368
2020-04-03,240150
2018-03-15,482892
2017-08-22,457946
2017-11-18,265469
2019-01-27,131385
2016-04-20,12627
2016-05-05,329376
2020-02-12,230412
2019-02-19,277977
2020-03-03,154968
2017-04-26,424338
2019-04-25,231322
2020-02-01,4518
2017-12-27,175106
2018-08-22,388983
2017-12-03,177363
2018-07-13,139294
2020-07-17,91082
2018-09-17,161473
2017-11-14,199308
2016-04-03,303094
2019-02-21,349487
2019-01-14,186893
2019-03-22,204331
2020-09-04,71360
2018-07-31,478316
2020-06-17,344226
2020-05-29,146635
2020-12-07,38898
2018-02-25,131513
2019-01-23,340881
2018-11-10,35864
2016-10-14,317406
2019-03-21,451762
2018-12-21,453605
2016-11-03,66487
2020-06-02,273828
2017-01-06,51564
2016-10-27,117822
2020-06-28,311761
2020-09-19,265873
2018-10-15,8934
2019-03-12,336030
2019-01-04,26086
2019-03-08,120345
2020-04-12,1530
2016-01-17,198188
2020-07-25,353915
2019-01-02,361651
2020-06-29,59015
2020-04-24,39944
2020-01-03,239363
2020-05-18,177204
2017-03-04,136108
2017-01-28,308624
2018-02-01,131480
2017-09-13,228123
2018-12-03,399977
2017-02-04,230970
2019-03-16,68937
2019-02-17,171096
2016-11-28,169880
2019-04-30,38882
2018-05-08,273887
2019-05-12,353625
2017-07-08,393557
2020-12-19,395520
2016-09-16,340240
2016-04-18,469349
2018-08-11,158764
2018-03-21,120348
2018-03-10,227257
2017-08-01,206543
2019-05-07,22501
2020-03-12,237899
2019-03-04,434518
2018-02-03,35584
2016-09-17,311421
2018-01-01,79998
2018-04-30,273703
2019-03-02,194099
2019-06-10,401201
2018-12-11,54588
2018-05-23,199767
2019-04-02,216506
2016-11-04,146123
2020-10-05,247842
2020-08-04,281670
2020-07-04,135747
2020-04-10,26463
2016-10-07,383988
2019-08-18,281185
2017-03-07,51453
2017-09-11,198079
2017-12-09,282514
2018-03-13,442779
2020-07-25,358447
2020-09-23,256949
2018-11-18,407276
2018-06-18,235622
2016-09-08,377032
2019-08-01,336940
2019-10-14,485980
2019-09-11,167580
2017-01-26,17220
2019-01-29,142385
2019-11-03,194261
2018-12-26,179123
2018-11-18,412377
2016-07-17,42177
2019-07-03,326437
2018-11-10,272229
2020-05-21,319486
2017-03-16,11201
2020-01-31,470037
2018-08-01,110846
2019-04-04,487282
2019-04-29,18978
2016-02-23,75556
2019-05-07,261076
2018-04-15,80635
2018-03-01,278254
2018-09-08,330579
2017-03-15,37266
2020-01-16,234721
2018-09-17,89158
2018-06-11,189356
2016-03-16,281864
2020-06-22,423500
2019-02-17,205125
2019-02-05,142021
2019-07-25,173773
2020-03-25,231586
2016-04-22,292285
2019-07-26,491470
2016-03-01,107622
2017-12-21,8077
2020-01-07,105470
2020-05-25,238271
2020-09-27,351546
2016-11-24,179751
2018-12-14,452823
2020-11-11,278707
2016-11-21,187789
2018-07-01,228206
2017-03-16,195916
2019-04-08,364959
2019-05-05,386235
2020-11-12,468619
2016-09-14,173626
2016-08-26,411717
2020-05-26,219082
2016-10-15,135976
2018-03-25,126868
2017-01-28,2424
2020-01-16,112418
2017-09-26,305636
2017-04-20,418721
2020-10-15,307147
2019-07-22,456581
2017-04-15,457453
2016-03-06,473970
2020-01-03,407977
2017-11-17,100065
2019-09-21,381527
2018-04-24,358059
2016-08-08,3517
2017-05-14,435914
2016-09-27,191350
2019-02-19,466751
2020-01-26,41043
2016-07-07,52900
2018-12-20,5586
2019-02-15,457128
2020-10-02,150151
2018-02-01,124341
2017-12-02,421393
2019-12-26,404358
2019-12-08,481530
2017-07-08,73038
2018-02-19,98521
2018-04-20,129518
2017-08-01,134616
2016-12-10,488339
2016-02-09,325945
2018-07-03,431599
2019-11-26,476974
2019-09-09,240985
2017-07-25,371120
2016-12-14,67845
2019-08-14,379380
2017-11-15,174473
2019-08-28,420820
2016-02-28,218987
2016-10-27,480392
2017-10-20,130354
2018-08-07,414329
2018-04-27,314812
2016-11-15,62030
2018-09-28,128628
2018-08-05,156103
2020-11-07,27728
2016-03-05,302008
2016-02-21,139554
2018-08-18,173797
2018-04-06,294421
2017-08-19,239048
2018-04-29,439522
2018-03-02,225104
2016-03-07,378661
2017-06-15,123925
2017-03-26,330002
2019-10-16,464657
2019-09-02,463564
2020-05-28,489062
2019-04-21,36393
2019-05-27,369847
2019-03-01,202694
2018-02-10,20096
2019-10-15,277855
2017-07-10,362539
2017-11-19,343542
2020-07-10,127139
2016-03-13,71171
2020-08-06,17302
2020-01-12,398906
2018-03-25,405726
2019-03-31,119272
2019-07-22,131328
2020-02-24,23959
2020-02-23,418462
2017-11-02,495443
2020-04-11,313149
2016-11-25,131814
2019-09-28,143049
2019-11-29,127877
2017-12-16,329304
2018-08-11,415898
2020-08-12,165377
2018-12-08,437609
2019-10-05,172498
2018-11-18,50631
2019-02-01,174236
2017-01-31,246222
2018-12-18,492011
2020-09-25,55284
2019-09-03,289624
2020-12-17,206377
2019-02-07,130540
2017-09-27,306497
2020-07-13,192074
2019-07-13,178489
2017-10-16,308729
2016-04-15,256935
2019-03-11,443016
2020-01-19,46905
2016-06-27,431627
2020-11-19,415943
2017-06-30,397028
2016-04-12,127975
2017-05-07,281378
2020-08-16,215698
2016-01-29,235166
2016-05-24,317439
2020-08-08,147263
2018-03-07,263445
2018-07-19,354581
2016-07-10,477505
2016-09-05,266453
2020-09-04,56616
2018-11-24,303596
2017-04-02,479273
2016-07-05,183440
2017-09-22,272365
2019-11-08,107188
2018-09-26,87913
2019-02-01,477916
2016-07-29,129536
2019-02-11,142206
2017-06-06,340926
2020-10-20,435539
2016-05-31,243453
2018-07-09,18542
2019-05-18,155125
2020-04-06,192454
2020-06-11,49783
2018-10-21,232270
2017-03-23,186270
2020-05-05,282779
2017-04-27,403820
2016-10-26,44585
2018-02-03,201764
2017-03-02,331302
2019-11-17,32114
2017-12-21,165875
2019-05-07,59572
2017-03-30,193013
2016-05-20,10512
2020-05-07,112990
2016-07-16,344960
2016-08-26,407973
2018-08-01,54691
2020-07-04,274380
2016-01-09,41881
2016-08-30,373770
2017-07-30,363786
2016-06-15,468685
2019-09-26,263567
2020-04-02,369495
2018-12-14,177244
2017-11-06,134680
2016-12-10,264438
2020-05-07,85173
2016-10-08,447835
2016-11-07,129341
2016-05-21,499735
2020-02-02,112365
2018-08-08,183758
2017-04-10,32433
2020-01-10,289170
2020-09-11,322185
2018-06-17,356345
2016-10-28,78954
2019-01-25,354643
2017-06-10,120311
2017-04-04,44067
2017-05-07,322411
2018-02-26,21841
2019-08-18,476333
2020-05-17,429515
2016-03-07,465632
2020-07-07,197139
2017-09-23,266519
2016-07-20,166692
2016-12-16,304522
2016-11-06,105677
2018-03-27,6327
2020-11-07,155575
2020-02-25,297344
2016-05-24,306554
2020-05-02,308331
2016-04-23,104270
2019-03-30,334770
2019-12-18,488149
2019-07-08,402488
2020-12-13,138135
2016-05-11,350911
2017-02-03,348604
2018-01-01,203368
2018-03-27,316413
2019-03-24,302487
2016-12-17,289600
2020-11-28,228430
2019-08-09,325136
2020-03-03,390483
2018-12-11,256720
2019-09-09,444075
2017-12-04,408559
2016-12-02,243484
2016-05-14,405025
2018-10-23,422094
2018-01-15,135697
2018-12-17,215715
2020-11-02,465624
2019-08-29,94917
2017-08-08,317931
2016-12-04,146971
2018-02-23,405697
2016-12-24,339899
2020-07-22,473864
2019-07-16,498941
2019-02-21,357601
2020-09-26,484831
2019-05-20,477280
2016-09-24,23169
2017-12-07,151545
2016-09-22,58547
2019-02-11,122071
2019-08-17,486234
2016-04-30,408817
2019-10-12,343779
2017-02-18,9771
2016-05-10,319305
2019-01-27,74001
2016-05-26,318307
2020-11-20,215717
2016-02-20,182349
2019-07-22,198017
2016-09-30,14887
2016-08-11,54892
2017-08-11,367943
2019-06-23,132725
2019-06-29,497619
2018-08-04,5809
2020-09-26,291899
2019-12-11,405772
2016-04-18,20298
2016-12-26,314604
2019-12-14,348719
2016-03-16,201254
2018-11-23,348545
2016-03-04,124711
2017-06-23,223146
2020-04-08,25775
2019-01-07,414568
2019-03-17,151273
2016-12-03,200009
2019-09-06,325402
2020-08-14,350030
2020-12-12,346765
2017-09-18,325057
2016-09-13,402645
2020-03-13,10631
2020-01-16,52855
2016-01-06,332422
2018-12-27,59090
2016-05-07,285467
2018-08-14,220009
2017-02-07,212771
2019-02-10,178319
2018-06-11,207403
2019-05-19,250691
2017-02-04,153916
2017-10-19,80292
2018-02-14,405452
2016-09-25,359377
2020-04-09,211330
2020-07-29,377611
2016-07-03,350721
2016-05-11,3178
2019-11-11,373700
2020-03-10,428120
2018-07-04,494367
2019-05-02,470869
2018-04-27,86077
2020-01-04,399847
2020-04-22,11536
2018-10-05,458996
2020-06-02,415917
2016-07-23,62054
2020-11-27,431127
2020-09-03,230011
2017-01-01,480983
2018-03-04,362871
2016-11-27,77775
2018-10-06,271093
2018-05-15,207124
2019-01-20,295815
2017-12-10,63140
2018-03-30,405981
2017-01-20,232597
2020-07-11,353821
2017-02-17,76375
2017-05-07,54536
2016-12-26,90690
2016-07-07,396718
2019-08-30,70763
2018-11-24,64156
2018-10-03,325660
2020-04-13,454024
2018-08-17,42879
2020-05-24,28509
2017-07-10,9706
2018-11-16,198923
2019-08-20,444449
2018-08-23,359595
2016-01-15,398904
2020-12-19,300261
2018-07-11,358041
2018-04-02,117307
2020-11-05,468813
2019-06-20,102295
2020-01-29,492411
2017-06-02,267015
2020-01-14,428710
2019-12-18,480577
2020-11-26,150266
2017-04-09,183048
2019-02-04,425469
2019-05-21,305644
2016-09-14,185283
2016-08-03,304263
2017-09-14,494959
2016-09-25,388314
2018-03-10,41150
2019-01-05,448509
2017-10-22,43513
2016-07-18,35924
2016-11-27,146614
2019-01-04,173441
2018-08-09,33381
2018-09-22,124678
2017-07-19,293320
2020-01-25,380696
2016-02-17,321650
2019-10-02,111976
2017-12-25,297081
2019-06-04,292617
2020-07-14,337782
2017-03-24,331672
2016-08-03,344987
2019-11-01,172030
2018-09-20,444139
2020-12-30,298254
2017-11-13,356256
2016-09-21,303557
2017-11-09,421258
2019-05-20,420887
2018-11-19,424813
2019-07-05,458131
2018-09-15,138633
2019-03-12,230838
2016-03-12,205363
2020-03-04,61149
2019-04-15,251896
2020-06-27,253021
2018-10-18,224214
2016-03-19,173027
2017-07-09,63014
2020-03-17,370889
2016-09-23,419534
2020-08-26,477591
2016-03-18,113125
2020-01-12,161081
2017-08-13,483318
2016-04-05,195038
2018-06-24,214250
2016-04-27,261815
2020-04-26,69076
2019-08-18,483677
2017-08-10,192281
2020-02-18,218506
2018-04-08,243659
2017-08-09,142227
2019-12-23,445365
2016-06-28,104239
2019-10-20,379489
2017-10-22,8801
2019-08-18,71729
2018-05-02,256376
2020-11-05,196189
2016-02-16,413568
2018-11-16,368412
2020-10-16,179905
2020-06-25,403256
2020-10-20,286466
2017-06-01,209481
2017-08-24,203158
2018-10-20,60237
2018-02-05,432334
2018-11-24,429564
2019-01-10,270864
2020-02-10,128479
2016-11-18,470484
2016-02-23,335750
2016-08-08,7345
2018-06-04,178570
2016-02-02,427798
2020-12-16,260369
2018-05-11,449608
2017-08-13,496528
2020-03-06,375675
2019-03-14,301641
2018-06-04,8809
2020-12-08,43992
2020-12-12,304448
2019-07-23,144003
2019-03-21,249669
2019-10-27,17005
2020-11-01,421789
2016-03-20,133011
2019-06-01,486828
2017-05-08,498492
2019-12-09,456510
2017-06-29,19969
2020-05-04,324331
2019-10-31,394588
2019-06-19,275469
2016-01-30,429614
2020-03-01,90193
2017-05-09,467261
2018-12-09,30132
2018-09-21,464496
2017-09-09,228556
2020-12-30,198675
2020-06-02,424055
2019-05-12,461655
2018-09-25,184981
2017-01-16,491596
2018-09-27,40115
2018-06-09,379305
2019-02-18,20717
2020-05-06,43945
2018-12-10,494667
2016-08-27,321185
2016-01-26,384517
2020-10-25,486926
2016-12-20,431941
2019-07-08,238377
2017-09-25,322305
2018-01-04,9188
2017-04-28,296297
2016-06-24,309207
2020-06-02,136763
2016-12-28,376089
2020-11-21,256313
2016-08-12,37347
2019-07-28,174083
2016-11-17,121194
2016-01-13,406049
2017-06-12,81854
2018-12-03,191920
2016-07-07,121336
2020-09-28,101527
2018-11-15,226189
2016-02-13,414093
2017-06-02,211874
2020-09-11,186050
2016-03-31,485334
2019-12-30,110106
2018-07-04,223890
2017-04-21,419264
2019-05-23,157941
2016-11-07,192862
2019-12-17,387407
2018-01-03,192266
2020-11-28,258088
2019-02-08,103922
2020-11-22,111471
2018-06-04,454741
2016-01-26,396754
2020-04-25,191118
2016-04-26,495417
2018-06-17,262629
2020-08-15,157438
2016-02-01,287673
2020-02-19,469939
2020-07-29,312304
2020-04-02,51096
2016-06-13,286579
2020-02-18,462248
2017-09-17,295204
2017-12-31,360041
2016-08-19,66776
2018-11-10,329696
2017-07-15,457391
2020-02-13,464920
2017-10-01,393169
2017-10-24,22993
2016-04-01,259468
2017-06-23,233546
2016-10-01,203353
2016-10-01,182548
2020-03-10,383308
2018-02-05,152682
2017-09-05,52246
2019-03-05,131913
2019-01-27,473040
2017-09-20,306054
2019-07-15,209243
2017-01-12,58970
2019-04-08,246246
2020-09-02,416031
2020-10-03,307711
2018-11-21,437196
2017-06-30,254440
2019-08-13,94512
2016-02-11,223643
2020-05-02,149375
2018-02-28,244385
2020-03-21,418836
2019-01-14,190134
2017-06-26,279706
2016-04-30,70676
2020-01-23,113843
2018-05-28,50044
2018-08-25,348879
2018-02-06,262355
2016-11-15,9691
2020-08-08,108251
2016-05-13,486351
2019-04-19,27861
2019-06-16,467822
2020-11-07,288086
2018-08-02,425753
2017-01-30,388389
2016-10-29,149007
2019-02-08,496082
2020-11-19,61594
2016-11-07,312819
2020-10-30,279256
2019-03-13,337176
2020-08-23,425658
2016-09-30,437821
2019-06-03,79323
2017-03-25,86977
2018-10-28,22063
2016-06-18,238385
2020-09-24,405474
2017-07-26,218268
2020-12-02,155894
2019-05-22,118945
2017-07-07,116514
2018-01-20,251889
2020-11-24,317001
2017-04-22,309870
2018-01-04,79596
2016-12-06,457413
2017-03-25,175955
2020-07-06,89671
2020-06-04,110041
2017-09-24,254253
2016-03-25,87543
2019-10-28,40842
2017-04-05,57096
2018-01-01,366587
2020-02-25,312784
2018-02-16,106449
